cohortId,targetId,targetName,strataId,strataName,cohortType
1001,1001,Hydroxychloroquine ,0,All,Target
1002,1002,Hydroxychloroquine + Azithromycin ,0,All,Target
1003,1003,Hydroxychloroquine + Fluoroquinolones,0,All,Target
1004,1004,Hydroxychloroquine + Amoxicillin,0,All,Target
1005,1005,Hydroxychloroquine + ceftriaxone,0,All,Target
1006,1006,Chloroquine,0,All,Target
1007,1007,Azithromycin,0,All,Target
1008,1008,Fluoroquinolones,0,All,Target
1009,1009,Amoxicillin,0,All,Target
1010,1010,Ceftriaxone,0,All,Target
1011,1011,"IL6 inhibitors (tocilizumab, sarilumab, siltuximab)",0,All,Target
1012,1012,tocilizumab,0,All,Target
1013,1013,siltuximab,0,All,Target
1014,1014,sarilumab,0,All,Target
1015,1015,"JAK inhibitors (ruxolitinib, tofacitinib, oclacitinib, baricitinib, fedratinib, upadacitinib)",0,All,Target
1016,1016,baricitinib,0,All,Target
1017,1017,tofacitinib,0,All,Target
1018,1018,"TNF inhibitors (infliximab, golimumab, etanercept, certolizumab pegol, adalimumab)",0,All,Target
1019,1019,adalimumab,0,All,Target
1020,1020,etanercept,0,All,Target
1021,1021,infliximab,0,All,Target
1022,1022,ustekinumab,0,All,Target
1023,1023,Anakinra,0,All,Target
1024,1024,HIV Protease inhibitors,0,All,Target
1025,1025,ritonavir/lopinavir,0,All,Target
1026,1026,Interferon beta 1b,0,All,Target
1027,1027,Interferon beta 1a,0,All,Target
1028,1028,Interferon alfa 2a,0,All,Target
1029,1029,favipiravir,0,All,Target
1030,1030,Remdesivir,0,All,Target
1031,1031,ribavirin,0,All,Target
1032,1032,oseltamivir,0,All,Target
1033,1033,Ivermectin,0,All,Target
1034,1034,itraconazole,0,All,Target
1035,1035,warfarin,0,All,Target
1041,1041,acenocoumarol,0,All,Target
1036,1036,heparin,0,All,Target
1037,1037,enoxaparin,0,All,Target
1038,1038,edoxaban,0,All,Target
1039,1039,dabigatran,0,All,Target
1040,1040,rivaroxaban,0,All,Target
1042,1042,apixaban,0,All,Target
1043,1043,bemiparin,0,All,Target
1044,1044,clopidogrel,0,All,Target
1045,1045,aspirin,0,All,Target
1046,1046,prasugrel,0,All,Target
1047,1047,alteplase,0,All,Target
1048,1048,"Antifibrinolytics (tranexamic acid, aminocaproic acid)",0,All,Target
1049,1049,tranexamic acid,0,All,Target
1050,1050,Ruxolitinib,0,All,Target
1051,1051,Siltuximab,0,All,Target
1052,1052,ACE inhibitors,0,All,Target
1053,1053,Angiotensin receptor blockers (ARBs),0,All,Target
1054,1054,Non-Dihydropyridine Calcium Channel Blocker (ndCCB),0,All,Target
1055,1055,Thiazide or thiazide-like diuretics,0,All,Target
1056,1056,Hydrocortisone,0,All,Target
1057,1057,dexamethasone,0,All,Target
1058,1058,prednisone or prednisolone,0,All,Target
1059,1059,raloxifene,0,All,Target
1060,1060,Bevacizumab,0,All,Target
1061,1061,Fingolimod,0,All,Target
1062,1062,eculizumab ,0,All,Target
1063,1063,Statins,0,All,Target
1064,1064,metformin,0,All,Target
1065,1065,DPP-4 inhibitors,0,All,Target
